ORIGINAL_SCRIPT_WORD_INDEX,Frequency of Reuse (Exact),Frequency of Reuse (0-0.05),Frequency of Reuse (0-0.1),Frequency of Reuse (0-0.15),Frequency of Reuse (0-0.2),Frequency of Reuse (0-0.25),Frequency of Reuse (0-0.3),Frequency of Reuse (0-0.35),Frequency of Reuse (0-0.4),Frequency of Reuse (0-0.45),Frequency of Reuse (0-0.5),ORIGINAL_SCRIPT_WORD,LOWERCASE,SPACY_ORTH_ID,SCENE,CHARACTER,ANGER,ANTICIPATION,DISGUST,FEAR,JOY,SADNESS,SURPRISE,TRUST,NEGATIVE,POSITIVE
0,44.0,44.0,45.0,47.0,49.0,49.0,53.0,54.0,60.0,60.0,60.0,a,a,506,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
1,48.0,48.0,49.0,51.0,53.0,53.0,56.0,57.0,63.0,63.0,63.0,long,long,824,1,INTRO TEXT,0,1,0,0,0,0,0,0,0,0
2,48.0,48.0,49.0,51.0,53.0,55.0,58.0,59.0,65.0,65.0,65.0,time,time,646,1,INTRO TEXT,0,1,0,0,0,0,0,0,0,0
3,50.0,50.0,51.0,53.0,55.0,55.0,59.0,60.0,66.0,66.0,68.0,ago,ago,1060,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
4,121.0,121.0,122.0,124.0,128.0,134.0,140.0,142.0,151.0,151.0,151.0,in,in,522,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
5,136.0,136.0,137.0,139.0,141.0,143.0,146.0,150.0,156.0,156.0,157.0,a,a,506,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
6,134.0,134.0,134.0,134.0,135.0,138.0,138.0,140.0,140.0,140.0,141.0,galaxy,galaxy,422766,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
7,134.0,134.0,134.0,134.0,134.0,137.0,137.0,139.0,139.0,139.0,140.0,far,far,916,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
8,124.0,124.0,124.0,124.0,124.0,127.0,134.0,136.0,139.0,139.0,140.0,",",",",450,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
9,124.0,124.0,124.0,124.0,124.0,127.0,127.0,129.0,129.0,129.0,130.0,far,far,916,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
10,117.0,117.0,117.0,117.0,118.0,121.0,123.0,125.0,125.0,125.0,126.0,away,away,944,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
11,11.0,11.0,15.0,15.0,18.0,46.0,46.0,54.0,57.0,72.0,76.0,...,...,569,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
12,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,star,star,4131,1,INTRO TEXT,0,1,0,0,1,0,0,1,0,1
13,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,wars,wars,2956,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,episode,episode,3491,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vii,vii,346345,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,force,force,1555,1,INTRO TEXT,1,0,0,1,0,0,0,0,1,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,awakens,awakens,555224,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,luke,luke,247182,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
20,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,skywalker,skywalker,303039,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,has,has,615,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,vanished,vanished,14133,1,INTRO TEXT,0,0,0,1,0,1,1,0,1,0
23,8.0,8.0,8.0,8.0,8.0,9.0,11.0,12.0,13.0,13.0,14.0,.,.,453,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
24,8.0,8.0,8.0,8.0,8.0,9.0,11.0,12.0,13.0,13.0,14.0,in,in,522,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
25,8.0,8.0,8.0,8.0,8.0,9.0,11.0,12.0,13.0,13.0,14.0,his,his,553,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
26,8.0,8.0,8.0,8.0,8.0,9.0,11.0,12.0,13.0,13.0,14.0,absence,absence,6840,1,INTRO TEXT,0,0,0,1,0,1,0,0,1,0
27,8.0,8.0,8.0,8.0,8.0,9.0,11.0,12.0,13.0,13.0,14.0,",",",",450,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
28,8.0,8.0,8.0,8.0,8.0,9.0,11.0,12.0,13.0,13.0,14.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,sinister,sinister,168102,1,INTRO TEXT,1,0,1,1,0,0,0,0,1,0
30,4.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,first,first,774,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
31,4.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,order,order,1290,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
32,6.0,6.0,10.0,10.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,has,has,615,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
33,10.0,13.0,15.0,19.0,23.0,28.0,28.0,28.0,29.0,32.0,38.0,risen,risen,16977,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
34,31.0,33.0,37.0,62.0,75.0,80.0,81.0,81.0,85.0,89.0,99.0,from,from,595,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
35,32.0,34.0,41.0,90.0,112.0,117.0,120.0,120.0,125.0,129.0,141.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
36,36.0,38.0,45.0,91.0,112.0,116.0,119.0,119.0,124.0,128.0,140.0,ashes,ashes,421720,1,INTRO TEXT,0,0,0,0,0,1,0,0,1,0
37,36.0,38.0,45.0,91.0,111.0,115.0,118.0,118.0,123.0,127.0,140.0,of,of,510,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
38,35.0,37.0,42.0,88.0,107.0,111.0,114.0,114.0,119.0,123.0,136.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
39,33.0,33.0,38.0,81.0,99.0,99.0,102.0,102.0,106.0,107.0,115.0,empire,empire,6779,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
40,8.0,8.0,8.0,14.0,23.0,23.0,26.0,26.0,28.0,34.0,55.0,and,and,512,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
41,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,8.0,8.0,9.0,will,will,603,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
42,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,not,not,538,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
43,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,rest,rest,1223,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,1
44,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,until,until,1024,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
45,0.0,3.0,5.0,6.0,7.0,10.0,13.0,13.0,13.0,13.0,13.0,skywalker,skywalker,303039,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
46,0.0,4.0,5.0,6.0,7.0,10.0,13.0,14.0,14.0,14.0,14.0,",",",",450,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
47,0.0,4.0,5.0,6.0,7.0,10.0,13.0,14.0,14.0,14.0,14.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
48,0.0,4.0,5.0,5.0,6.0,9.0,12.0,13.0,13.0,13.0,13.0,last,last,891,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
49,0.0,4.0,5.0,5.0,6.0,9.0,12.0,13.0,13.0,13.0,13.0,jedi,jedi,201089,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
50,4.0,4.0,5.0,5.0,6.0,9.0,12.0,13.0,13.0,13.0,13.0,",",",",450,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
51,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,has,has,615,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
52,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,been,been,666,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
53,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,destroyed,destroyed,3789,1,INTRO TEXT,1,0,0,1,0,1,0,0,1,0
54,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,.,.,453,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
55,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,10.0,10.0,10.0,with,with,548,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
56,6.0,6.0,6.0,6.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
57,6.0,6.0,6.0,6.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,support,support,1018,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
58,6.0,6.0,6.0,6.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,of,of,510,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
59,6.0,6.0,6.0,6.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
60,0.0,0.0,0.0,0.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,republic,republic,6640,1,INTRO TEXT,0,0,0,0,0,0,0,0,1,0
61,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,",",",",450,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
62,0.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,general,general,1451,1,INTRO TEXT,0,0,0,0,0,0,0,1,0,1
63,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,leia,leia,336292,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
64,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,organa,organa,776981,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
65,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,leads,leads,3405,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
66,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,a,a,506,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
67,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,brave,brave,9229,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
68,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,resistance,resistance,6705,1,INTRO TEXT,1,0,0,0,0,0,0,0,1,0
69,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,.,.,453,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
70,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,she,she,699,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
71,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,is,is,513,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
72,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,desperate,desperate,4597,1,INTRO TEXT,0,0,0,0,0,0,0,0,1,0
73,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,to,to,504,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
74,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,find,find,815,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,her,her,656,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
76,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,brother,brother,3162,1,INTRO TEXT,0,0,0,0,0,0,0,1,0,1
77,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,luke,luke,247182,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
78,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,and,and,512,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
79,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,gain,gain,2728,1,INTRO TEXT,0,1,0,0,1,0,0,0,0,1
80,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,his,his,553,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
81,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,help,help,987,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
82,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,in,in,522,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
83,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,restoring,restoring,429309,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,1
84,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,peace,peace,3040,1,INTRO TEXT,0,1,0,0,1,0,0,1,0,1
85,9.0,9.0,9.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,and,and,512,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
86,9.0,9.0,9.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,justice,justice,3287,1,INTRO TEXT,0,0,0,0,0,0,0,1,0,1
87,9.0,9.0,9.0,12.0,13.0,13.0,13.0,14.0,15.0,16.0,18.0,to,to,504,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
88,9.0,9.0,9.0,12.0,13.0,13.0,13.0,14.0,15.0,16.0,18.0,the,the,501,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
89,9.0,9.0,9.0,12.0,13.0,13.0,13.0,14.0,15.0,16.0,18.0,galaxy,galaxy,422766,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
90,6.0,6.0,6.0,6.0,8.0,11.0,11.0,12.0,13.0,14.0,16.0,.,.,453,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
91,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,7.0,9.0,leia,leia,336292,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
92,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,8.0,has,has,615,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
93,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,sent,sent,2341,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
94,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,her,her,656,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
95,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,most,most,707,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
96,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,daring,daring,58397,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,1
97,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,pilot,pilot,7691,1,INTRO TEXT,0,0,0,0,0,0,0,1,0,1
98,2.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,on,on,542,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
99,2.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,a,a,506,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
100,2.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,11.0,secret,secret,2689,1,INTRO TEXT,0,0,0,0,0,0,0,1,0,0
101,2.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,11.0,mission,mission,5194,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
102,2.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,11.0,to,to,504,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
103,0.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,11.0,jakku,jakku,776983,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
104,3.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,",",",",450,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
105,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,where,where,752,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
106,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,an,an,591,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
107,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,old,old,886,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
108,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,ally,ally,540766,1,INTRO TEXT,0,0,0,0,0,0,0,1,0,1
109,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,has,has,615,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
110,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,discovered,discovered,3611,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
111,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,a,a,506,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
112,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,clue,clue,3661,1,INTRO TEXT,0,1,0,0,0,0,0,0,0,0
113,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,to,to,504,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
114,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,luke,luke,247182,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
115,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,'s,'s,525,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
116,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,whereabouts,whereabouts,324130,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
117,0.0,0.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,....,....,1058,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
118,15.0,15.0,16.0,17.0,18.0,20.0,20.0,20.0,20.0,20.0,21.0,this,this,552,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
119,18.0,19.0,19.0,21.0,22.0,24.0,25.0,25.0,25.0,25.0,25.0,will,will,603,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
120,22.0,23.0,24.0,24.0,25.0,28.0,28.0,32.0,33.0,36.0,42.0,begin,begin,2606,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
121,24.0,25.0,26.0,26.0,28.0,31.0,36.0,44.0,47.0,51.0,57.0,to,to,504,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
122,24.0,25.0,26.0,26.0,28.0,31.0,36.0,44.0,47.0,51.0,57.0,make,make,664,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
123,24.0,25.0,26.0,26.0,28.0,31.0,36.0,44.0,47.0,53.0,59.0,things,things,753,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
124,24.0,25.0,26.0,26.0,28.0,31.0,36.0,44.0,47.0,53.0,59.0,right,right,679,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
125,20.0,20.0,22.0,22.0,28.0,30.0,35.0,43.0,46.0,52.0,58.0,.,.,453,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
126,3.0,3.0,3.0,3.0,4.0,5.0,9.0,15.0,19.0,20.0,22.0,i,i,509,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,'ve,'ve,689,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
128,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,traveled,traveled,118683,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
129,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,too,too,698,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
130,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,far,far,916,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,",",",",450,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,and,and,512,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,seen,seen,1016,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,too,too,698,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,much,much,668,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
136,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,",",",",450,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
137,7.0,7.0,7.0,9.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,to,to,504,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
138,7.0,7.0,7.0,9.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,ignore,ignore,2476,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,1,0
139,7.0,7.0,7.0,12.0,28.0,29.0,29.0,29.0,29.0,29.0,30.0,the,the,501,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
140,7.0,7.0,7.0,12.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,despair,despair,322629,4,LOR SAN TEKKA,1,0,1,1,0,1,0,0,1,0
141,7.0,7.0,7.0,12.0,28.0,29.0,33.0,34.0,38.0,42.0,45.0,in,in,522,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
142,7.0,7.0,7.0,11.0,27.0,27.0,31.0,32.0,36.0,40.0,43.0,the,the,501,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
143,7.0,7.0,7.0,10.0,22.0,22.0,26.0,27.0,31.0,35.0,38.0,galaxy,galaxy,422766,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
144,6.0,6.0,6.0,9.0,22.0,23.0,27.0,28.0,32.0,36.0,40.0,.,.,453,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
145,5.0,6.0,8.0,8.0,8.0,9.0,13.0,14.0,18.0,22.0,26.0,without,without,845,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
146,5.0,8.0,8.0,9.0,9.0,11.0,15.0,16.0,20.0,24.0,28.0,the,the,501,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
147,0.0,8.0,9.0,12.0,13.0,17.0,17.0,17.0,18.0,20.0,26.0,jedi,jedi,201089,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
148,8.0,9.0,9.0,13.0,14.0,18.0,19.0,19.0,21.0,23.0,30.0,",",",",450,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
149,9.0,10.0,11.0,16.0,18.0,22.0,22.0,22.0,24.0,26.0,33.0,there,there,608,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
150,9.0,10.0,11.0,16.0,18.0,21.0,21.0,21.0,23.0,25.0,31.0,can,can,586,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
151,10.0,11.0,12.0,16.0,18.0,21.0,22.0,22.0,24.0,26.0,32.0,be,be,536,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
152,10.0,11.0,12.0,16.0,18.0,21.0,25.0,26.0,30.0,36.0,45.0,no,no,625,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
153,10.0,10.0,11.0,14.0,16.0,18.0,24.0,24.0,31.0,34.0,37.0,balance,balance,3134,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,1
154,11.0,11.0,12.0,14.0,22.0,27.0,37.0,42.0,56.0,61.0,68.0,in,in,522,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
155,11.0,11.0,11.0,13.0,20.0,25.0,36.0,42.0,56.0,62.0,69.0,the,the,501,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
156,11.0,11.0,11.0,13.0,19.0,25.0,36.0,42.0,56.0,62.0,69.0,force,force,1555,4,LOR SAN TEKKA,1,0,0,1,0,0,0,0,1,0
157,10.0,10.0,10.0,13.0,19.0,24.0,35.0,41.0,54.0,60.0,67.0,.,.,453,4,LOR SAN TEKKA,0,0,0,0,0,0,0,0,0,0
158,3.0,3.0,3.0,6.0,12.0,17.0,25.0,31.0,44.0,48.0,56.0,well,well,733,4,POE,0,0,0,0,0,0,0,0,0,0
159,3.0,3.0,3.0,4.0,9.0,12.0,17.0,23.0,30.0,33.0,40.0,",",",",450,4,POE,0,0,0,0,0,0,0,0,0,0
